#time 1Hz  2Hz      5Hz      10Hz     20Hz 
0 1.000000 1.000000 1.000000 1.000000 1.000000
20000 0.992115 0.968583 0.809017 0.309017 -0.809017
40000 0.968583 0.876307 0.309017 -0.809017 0.309017
60000 0.929776 0.728969 -0.309017 -0.809017 0.309017
80000 0.876307 0.535827 -0.809017 0.309017 -0.809017
100000 0.809017 0.309017 -1.000000 1.000000 1.000000
120000 0.728969 0.062791 -0.809017 0.309017 -0.809017
140000 0.637424 -0.187381 -0.309017 -0.809017 0.309017
160000 0.535827 -0.425779 0.309017 -0.809017 0.309017
180000 0.425779 -0.637424 0.809017 0.309017 -0.809017
200000 0.309017 -0.809017 1.000000 1.000000 1.000000
220000 0.187381 -0.929776 0.809017 0.309017 -0.809017
240000 0.062791 -0.992115 0.309017 -0.809017 0.309017
260000 -0.062791 -0.992115 -0.309017 -0.809017 0.309017
280000 -0.187381 -0.929776 -0.809017 0.309017 -0.809017
300000 -0.309017 -0.809017 -1.000000 1.000000 1.000000
320000 -0.425779 -0.637424 -0.809017 0.309017 -0.809017
340000 -0.535827 -0.425779 -0.309017 -0.809017 0.309017
360000 -0.637424 -0.187381 0.309017 -0.809017 0.309017
380000 -0.728969 0.062791 0.809017 0.309017 -0.809017
400000 -0.809017 0.309017 1.000000 1.000000 1.000000
420000 -0.876307 0.535827 0.809017 0.309017 -0.809017
440000 -0.929776 0.728969 0.309017 -0.809017 0.309017
460000 -0.968583 0.876307 -0.309017 -0.809017 0.309017
480000 -0.992115 0.968583 -0.809017 0.309017 -0.809017
500000 -1.000000 1.000000 -1.000000 1.000000 1.000000
520000 -0.992115 0.968583 -0.809017 0.309017 -0.809017
540000 -0.968583 0.876307 -0.309017 -0.809017 0.309017
560000 -0.929776 0.728969 0.309017 -0.809017 0.309017
580000 -0.876307 0.535827 0.809017 0.309017 -0.809017
600000 -0.809017 0.309017 1.000000 1.000000 1.000000
620000 -0.728969 0.062791 0.809017 0.309017 -0.809017
640000 -0.637424 -0.187381 0.309017 -0.809017 0.309017
660000 -0.535827 -0.425779 -0.309017 -0.809017 0.309017
680000 -0.425779 -0.637424 -0.809017 0.309017 -0.809017
7.000000e+05 -0.309017 -0.809017 -1.000000 1.000000 1.000000
720000 -0.187381 -0.929776 -0.809017 0.309017 -0.809017
740000 -0.062791 -0.992115 -0.309017 -0.809017 0.309017
760000 0.062791 -0.992115 0.309017 -0.809017 0.309017
780000 0.187381 -0.929776 0.809017 0.309017 -0.809017
800000 0.309017 -0.809017 1.000000 1.000000 1.000000
8.200000e+05 0.425779 -0.637424 0.809017 0.309017 -0.809017
840000 0.535827 -0.425779 0.309017 -0.809017 0.309017
860000 0.637424 -0.187381 -0.309017 -0.809017 0.309017
880000 0.728969 0.062791 -0.809017 0.309017 -0.809017
900000 0.809017 0.309017 -1.000000 1.000000 1.000000
920000 0.876307 0.535827 -0.809017 0.309017 -0.809017
940000 0.929776 0.728969 -0.309017 -0.809017 0.309017
960000 0.968583 0.876307 0.309017 -0.809017 0.309017
980000 0.992115 0.968583 0.809017 0.309017 -0.809017
1000000 1.000000 1.000000 1.000000 1.000000 1.000000
1020000 0.992115 0.968583 0.809017 0.309017 -0.809017
1040000 0.968583 0.876307 0.309017 -0.809017 0.309017
1060000 0.929776 0.728969 -0.309017 -0.809017 0.309017
1080000 0.876307 0.535827 -0.809017 0.309017 -0.809017
1100000 0.809017 0.309017 -1.000000 1.000000 1.000000
1120000 0.728969 0.062791 -0.809017 0.309017 -0.809017
1.140000e+06 0.637424 -0.187381 -0.309017 -0.809017 0.309017
1160000 0.535827 -0.425779 0.309017 -0.809017 0.309017
1180000 0.425779 -0.637424 0.809017 0.309017 -0.809017
1200000 0.309017 -0.809017 1.000000 1.000000 1.000000
1220000 0.187381 -0.929776 0.809017 0.309017 -0.809017
1240000 0.062791 -0.992115 0.309017 -0.809017 0.309017
1260000 -0.062791 -0.992115 -0.309017 -0.809017 0.309017
1280000 -0.187381 -0.929776 -0.809017 0.309017 -0.809017
1300000 -0.309017 -0.809017 -1.000000 1.000000 1.000000
1320000 -0.425779 -0.637424 -0.809017 0.309017 -0.809017
1340000 -0.535827 -0.425779 -0.309017 -0.809017 0.309017
1360000 -0.637424 -0.187381 0.309017 -0.809017 0.309017
1380000 -0.728969 0.062791 0.809017 0.309017 -0.809017
1.400000e+06 -0.809017 0.309017 1.000000 1.000000 1.000000
1420000 -0.876307 0.535827 0.809017 0.309017 -0.809017
1440000 -0.929776 0.728969 0.309017 -0.809017 0.309017
1460000 -0.968583 0.876307 -0.309017 -0.809017 0.309017
1480000 -0.992115 0.968583 -0.809017 0.309017 -0.809017
1500000 -1.000000 1.000000 -1.000000 1.000000 1.000000
1520000 -0.992115 0.968583 -0.809017 0.309017 -0.809017
1540000 -0.968583 0.876307 -0.309017 -0.809017 0.309017
1560000 -0.929776 0.728969 0.309017 -0.809017 0.309017
1580000 -0.876307 0.535827 0.809017 0.309017 -0.809017
1600000 -0.809017 0.309017 1.000000 1.000000 1.000000
1620000 -0.728969 0.062791 0.809017 0.309017 -0.809017
1.640000e+06 -0.637424 -0.187381 0.309017 -0.809017 0.309017
1.660000e+06 -0.535827 -0.425779 -0.309017 -0.809017 0.309017
1680000 -0.425779 -0.637424 -0.809017 0.309017 -0.809017
1700000 -0.309017 -0.809017 -1.000000 1.000000 1.000000
1720000 -0.187381 -0.929776 -0.809017 0.309017 -0.809017
1740000 -0.062791 -0.992115 -0.309017 -0.809017 0.309017
1760000 0.062791 -0.992115 0.309017 -0.809017 0.309017
1780000 0.187381 -0.929776 0.809017 0.309017 -0.809017
1800000 0.309017 -0.809017 1.000000 1.000000 1.000000
1820000 0.425779 -0.637424 0.809017 0.309017 -0.809017
1840000 0.535827 -0.425779 0.309017 -0.809017 0.309017
1860000 0.637424 -0.187381 -0.309017 -0.809017 0.309017
1880000 0.728969 0.062791 -0.809017 0.309017 -0.809017
1.900000e+06 0.809017 0.309017 -1.000000 1.000000 1.000000
1920000 0.876307 0.535827 -0.809017 0.309017 -0.809017
1940000 0.929776 0.728969 -0.309017 -0.809017 0.309017
1960000 0.968583 0.876307 0.309017 -0.809017 0.309017
1980000 0.992115 0.968583 0.809017 0.309017 -0.809017
2000000 1.000000 1.000000 1.000000 1.000000 1.000000
2020000 0.992115 0.968583 0.809017 0.309017 -0.809017
2040000 0.968583 0.876307 0.309017 -0.809017 0.309017
2060000 0.929776 0.728969 -0.309017 -0.809017 0.309017
2080000 0.876307 0.535827 -0.809017 0.309017 -0.809017
2100000 0.809017 0.309017 -1.000000 1.000000 1.000000
2120000 0.728969 0.062791 -0.809017 0.309017 -0.809017
2140000 0.637424 -0.187381 -0.309017 -0.809017 0.309017
2160000 0.535827 -0.425779 0.309017 -0.809017 0.309017
2180000 0.425779 -0.637424 0.809017 0.309017 -0.809017
2200000 0.309017 -0.809017 1.000000 1.000000 1.000000
2220000 0.187381 -0.929776 0.809017 0.309017 -0.809017
2240000 0.062791 -0.992115 0.309017 -0.809017 0.309017
2260000 -0.062791 -0.992115 -0.309017 -0.809017 0.309017
2.280000e+06 -0.187381 -0.929776 -0.809017 0.309017 -0.809017
2.300000e+06 -0.309017 -0.809017 -1.000000 1.000000 1.000000
2320000 -0.425779 -0.637424 -0.809017 0.309017 -0.809017
2340000 -0.535827 -0.425779 -0.309017 -0.809017 0.309017
2360000 -0.637424 -0.187381 0.309017 -0.809017 0.309017
2380000 -0.728969 0.062791 0.809017 0.309017 -0.809017
2400000 -0.809017 0.309017 1.000000 1.000000 1.000000
2420000 -0.876307 0.535827 0.809017 0.309017 -0.809017
2440000 -0.929776 0.728969 0.309017 -0.809017 0.309017
2460000 -0.968583 0.876307 -0.309017 -0.809017 0.309017
2480000 -0.992115 0.968583 -0.809017 0.309017 -0.809017
2500000 -1.000000 1.000000 -1.000000 1.000000 1.000000
2520000 -0.992115 0.968583 -0.809017 0.309017 -0.809017
2540000 -0.968583 0.876307 -0.309017 -0.809017 0.309017
2560000 -0.929776 0.728969 0.309017 -0.809017 0.309017
2580000 -0.876307 0.535827 0.809017 0.309017 -0.809017
2600000 -0.809017 0.309017 1.000000 1.000000 1.000000
2620000 -0.728969 0.062791 0.809017 0.309017 -0.809017
2640000 -0.637424 -0.187381 0.309017 -0.809017 0.309017
2660000 -0.535827 -0.425779 -0.309017 -0.809017 0.309017
2680000 -0.425779 -0.637424 -0.809017 0.309017 -0.809017
2700000 -0.309017 -0.809017 -1.000000 1.000000 1.000000
2720000 -0.187381 -0.929776 -0.809017 0.309017 -0.809017
2740000 -0.062791 -0.992115 -0.309017 -0.809017 0.309017
2760000 0.062791 -0.992115 0.309017 -0.809017 0.309017
2.780000e+06 0.187381 -0.929776 0.809017 0.309017 -0.809017
2.800000e+06 0.309017 -0.809017 1.000000 1.000000 1.000000
2820000 0.425779 -0.637424 0.809017 0.309017 -0.809017
2840000 0.535827 -0.425779 0.309017 -0.809017 0.309017
2860000 0.637424 -0.187381 -0.309017 -0.809017 0.309017
2880000 0.728969 0.062791 -0.809017 0.309017 -0.809017
2900000 0.809017 0.309017 -1.000000 1.000000 1.000000
2920000 0.876307 0.535827 -0.809017 0.309017 -0.809017
2940000 0.929776 0.728969 -0.309017 -0.809017 0.309017
2960000 0.968583 0.876307 0.309017 -0.809017 0.309017
2980000 0.992115 0.968583 0.809017 0.309017 -0.809017
3000000 1.000000 1.000000 1.000000 1.000000 1.000000
3020000 0.992115 0.968583 0.809017 0.309017 -0.809017
3040000 0.968583 0.876307 0.309017 -0.809017 0.309017
3060000 0.929776 0.728969 -0.309017 -0.809017 0.309017
3080000 0.876307 0.535827 -0.809017 0.309017 -0.809017
3100000 0.809017 0.309017 -1.000000 1.000000 1.000000
3120000 0.728969 0.062791 -0.809017 0.309017 -0.809017
3140000 0.637424 -0.187381 -0.309017 -0.809017 0.309017
3160000 0.535827 -0.425779 0.309017 -0.809017 0.309017
3180000 0.425779 -0.637424 0.809017 0.309017 -0.809017
3200000 0.309017 -0.809017 1.000000 1.000000 1.000000
3220000 0.187381 -0.929776 0.809017 0.309017 -0.809017
3240000 0.062791 -0.992115 0.309017 -0.809017 0.309017
3260000 -0.062791 -0.992115 -0.309017 -0.809017 0.309017
3.280000e+06 -0.187381 -0.929776 -0.809017 0.309017 -0.809017
3.300000e+06 -0.309017 -0.809017 -1.000000 1.000000 1.000000
3.320000e+06 -0.425779 -0.637424 -0.809017 0.309017 -0.809017
3340000 -0.535827 -0.425779 -0.309017 -0.809017 0.309017
3360000 -0.637424 -0.187381 0.309017 -0.809017 0.309017
3380000 -0.728969 0.062791 0.809017 0.309017 -0.809017
3400000 -0.809017 0.309017 1.000000 1.000000 1.000000
3420000 -0.876307 0.535827 0.809017 0.309017 -0.809017
3440000 -0.929776 0.728969 0.309017 -0.809017 0.309017
3460000 -0.968583 0.876307 -0.309017 -0.809017 0.309017
3480000 -0.992115 0.968583 -0.809017 0.309017 -0.809017
3500000 -1.000000 1.000000 -1.000000 1.000000 1.000000
3520000 -0.992115 0.968583 -0.809017 0.309017 -0.809017
3540000 -0.968583 0.876307 -0.309017 -0.809017 0.309017
3560000 -0.929776 0.728969 0.309017 -0.809017 0.309017
3580000 -0.876307 0.535827 0.809017 0.309017 -0.809017
3600000 -0.809017 0.309017 1.000000 1.000000 1.000000
3620000 -0.728969 0.062791 0.809017 0.309017 -0.809017
3640000 -0.637424 -0.187381 0.309017 -0.809017 0.309017
3660000 -0.535827 -0.425779 -0.309017 -0.809017 0.309017
3680000 -0.425779 -0.637424 -0.809017 0.309017 -0.809017
3700000 -0.309017 -0.809017 -1.000000 1.000000 1.000000
3720000 -0.187381 -0.929776 -0.809017 0.309017 -0.809017
3740000 -0.062791 -0.992115 -0.309017 -0.809017 0.309017
3760000 0.062791 -0.992115 0.309017 -0.809017 0.309017
3.780000e+06 0.187381 -0.929776 0.809017 0.309017 -0.809017
3.800000e+06 0.309017 -0.809017 1.000000 1.000000 1.000000
3.820000e+06 0.425779 -0.637424 0.809017 0.309017 -0.809017
3840000 0.535827 -0.425779 0.309017 -0.809017 0.309017
3860000 0.637424 -0.187381 -0.309017 -0.809017 0.309017
3880000 0.728969 0.062791 -0.809017 0.309017 -0.809017
3900000 0.809017 0.309017 -1.000000 1.000000 1.000000
3920000 0.876307 0.535827 -0.809017 0.309017 -0.809017
3940000 0.929776 0.728969 -0.309017 -0.809017 0.309017
3960000 0.968583 0.876307 0.309017 -0.809017 0.309017
3980000 0.992115 0.968583 0.809017 0.309017 -0.809017
4000000 1.000000 1.000000 1.000000 1.000000 1.000000
4.020000e+06 0.992115 0.968583 0.809017 0.309017 -0.809017
4040000 0.968583 0.876307 0.309017 -0.809017 0.309017
4.060000e+06 0.929776 0.728969 -0.309017 -0.809017 0.309017
4080000 0.876307 0.535827 -0.809017 0.309017 -0.809017
4.100000e+06 0.809017 0.309017 -1.000000 1.000000 1.000000
4120000 0.728969 0.062791 -0.809017 0.309017 -0.809017
4.140000e+06 0.637424 -0.187381 -0.309017 -0.809017 0.309017
4160000 0.535827 -0.425779 0.309017 -0.809017 0.309017
4.180000e+06 0.425779 -0.637424 0.809017 0.309017 -0.809017
4200000 0.309017 -0.809017 1.000000 1.000000 1.000000
4220000 0.187381 -0.929776 0.809017 0.309017 -0.809017
4240000 0.062791 -0.992115 0.309017 -0.809017 0.309017
4260000 -0.062791 -0.992115 -0.309017 -0.809017 0.309017
4280000 -0.187381 -0.929776 -0.809017 0.309017 -0.809017
4300000 -0.309017 -0.809017 -1.000000 1.000000 1.000000
4320000 -0.425779 -0.637424 -0.809017 0.309017 -0.809017
4340000 -0.535827 -0.425779 -0.309017 -0.809017 0.309017
4360000 -0.637424 -0.187381 0.309017 -0.809017 0.309017
4380000 -0.728969 0.062791 0.809017 0.309017 -0.809017
4400000 -0.809017 0.309017 1.000000 1.000000 1.000000
4420000 -0.876307 0.535827 0.809017 0.309017 -0.809017
4440000 -0.929776 0.728969 0.309017 -0.809017 0.309017
4460000 -0.968583 0.876307 -0.309017 -0.809017 0.309017
4480000 -0.992115 0.968583 -0.809017 0.309017 -0.809017
4500000 -1.000000 1.000000 -1.000000 1.000000 1.000000
4520000 -0.992115 0.968583 -0.809017 0.309017 -0.809017
4540000 -0.968583 0.876307 -0.309017 -0.809017 0.309017
4.560000e+06 -0.929776 0.728969 0.309017 -0.809017 0.309017
4580000 -0.876307 0.535827 0.809017 0.309017 -0.809017
4.600000e+06 -0.809017 0.309017 1.000000 1.000000 1.000000
4620000 -0.728969 0.062791 0.809017 0.309017 -0.809017
4640000 -0.637424 -0.187381 0.309017 -0.809017 0.309017
