#time 1Hz  2Hz      5Hz      10Hz      
0 0.000000 0.000000 0.000000 0.000000
10000 0.062791 0.125333 0.309017 0.587785
20000 0.125333 0.248690 0.587785 0.951057
30000 0.187381 0.368125 0.809017 0.951057
40000 0.248690 0.481754 0.951057 0.587785
50000 0.309017 0.587785 1.000000 0.000000
60000 0.368125 0.684547 0.951057 -0.587785
70000 0.425779 0.770513 0.809017 -0.951057
80000 0.481754 0.844328 0.587785 -0.951057
90000 0.535827 0.904827 0.309017 -0.587785
100000 0.587785 0.951057 0.000000 -0.000000
110000 0.637424 0.982287 -0.309017 0.587785
120000 0.684547 0.998027 -0.587785 0.951057
130000 0.728969 0.998027 -0.809017 0.951057
140000 0.770513 0.982287 -0.951057 0.587785
150000 0.809017 0.951057 -1.000000 0.000000
160000 0.844328 0.904827 -0.951057 -0.587785
170000 0.876307 0.844328 -0.809017 -0.951057
180000 0.904827 0.770513 -0.587785 -0.951057
190000 0.929776 0.684547 -0.309017 -0.587785
200000 0.951057 0.587785 -0.000000 -0.000000
210000 0.968583 0.481754 0.309017 0.587785
220000 0.982287 0.368125 0.587785 0.951057
230000 0.992115 0.248690 0.809017 0.951057
240000 0.998027 0.125333 0.951057 0.587785
250000 1.000000 0.000000 1.000000 0.000000
260000 0.998027 -0.125333 0.951057 -0.587785
270000 0.992115 -0.248690 0.809017 -0.951057
280000 0.982287 -0.368125 0.587785 -0.951057
290000 0.968583 -0.481754 0.309017 -0.587785
300000 0.951057 -0.587785 0.000000 -0.000000
310000 0.929776 -0.684547 -0.309017 0.587785
320000 0.904827 -0.770513 -0.587785 0.951057
330000 0.876307 -0.844328 -0.809017 0.951057
340000 0.844328 -0.904827 -0.951057 0.587785
3.500000e+05 0.809017 -0.951057 -1.000000 0.000000
360000 0.770513 -0.982287 -0.951057 -0.587785
370000 0.728969 -0.998027 -0.809017 -0.951057
380000 0.684547 -0.998027 -0.587785 -0.951057
390000 0.637424 -0.982287 -0.309017 -0.587785
400000 0.587785 -0.951057 -0.000000 -0.000000
4.100000e+05 0.535827 -0.904827 0.309017 0.587785
420000 0.481754 -0.844328 0.587785 0.951057
430000 0.425779 -0.770513 0.809017 0.951057
440000 0.368125 -0.684547 0.951057 0.587785
450000 0.309017 -0.587785 1.000000 0.000000
460000 0.248690 -0.481754 0.951057 -0.587785
470000 0.187381 -0.368125 0.809017 -0.951057
480000 0.125333 -0.248690 0.587785 -0.951057
490000 0.062791 -0.125333 0.309017 -0.587785
500000 0.000000 -0.000000 0.000000 -0.000000
510000 -0.062791 0.125333 -0.309017 0.587785
520000 -0.125333 0.248690 -0.587785 0.951057
530000 -0.187381 0.368125 -0.809017 0.951057
540000 -0.248690 0.481754 -0.951057 0.587785
550000 -0.309017 0.587785 -1.000000 -0.000000
560000 -0.368125 0.684547 -0.951057 -0.587785
5.700000e+05 -0.425779 0.770513 -0.809017 -0.951057
580000 -0.481754 0.844328 -0.587785 -0.951057
590000 -0.535827 0.904827 -0.309017 -0.587785
600000 -0.587785 0.951057 -0.000000 -0.000000
610000 -0.637424 0.982287 0.309017 0.587785
620000 -0.684547 0.998027 0.587785 0.951057
630000 -0.728969 0.998027 0.809017 0.951057
640000 -0.770513 0.982287 0.951057 0.587785
650000 -0.809017 0.951057 1.000000 -0.000000
660000 -0.844328 0.904827 0.951057 -0.587785
670000 -0.876307 0.844328 0.809017 -0.951057
680000 -0.904827 0.770513 0.587785 -0.951057
690000 -0.929776 0.684547 0.309017 -0.587785
7.000000e+05 -0.951057 0.587785 0.000000 -0.000000
710000 -0.968583 0.481754 -0.309017 0.587785
720000 -0.982287 0.368125 -0.587785 0.951057
730000 -0.992115 0.248690 -0.809017 0.951057
740000 -0.998027 0.125333 -0.951057 0.587785
750000 -1.000000 0.000000 -1.000000 0.000000
760000 -0.998027 -0.125333 -0.951057 -0.587785
770000 -0.992115 -0.248690 -0.809017 -0.951057
780000 -0.982287 -0.368125 -0.587785 -0.951057
790000 -0.968583 -0.481754 -0.309017 -0.587785
800000 -0.951057 -0.587785 -0.000000 -0.000000
810000 -0.929776 -0.684547 0.309017 0.587785
8.200000e+05 -0.904827 -0.770513 0.587785 0.951057
8.300000e+05 -0.876307 -0.844328 0.809017 0.951057
840000 -0.844328 -0.904827 0.951057 0.587785
850000 -0.809017 -0.951057 1.000000 -0.000000
860000 -0.770513 -0.982287 0.951057 -0.587785
870000 -0.728969 -0.998027 0.809017 -0.951057
880000 -0.684547 -0.998027 0.587785 -0.951057
890000 -0.637424 -0.982287 0.309017 -0.587785
900000 -0.587785 -0.951057 0.000000 -0.000000
910000 -0.535827 -0.904827 -0.309017 0.587785
920000 -0.481754 -0.844328 -0.587785 0.951057
930000 -0.425779 -0.770513 -0.809017 0.951057
940000 -0.368125 -0.684547 -0.951057 0.587785
9.500000e+05 -0.309017 -0.587785 -1.000000 0.000000
960000 -0.248690 -0.481754 -0.951057 -0.587785
970000 -0.187381 -0.368125 -0.809017 -0.951057
980000 -0.125333 -0.248690 -0.587785 -0.951057
990000 -0.062791 -0.125333 -0.309017 -0.587785
1000000 -0.000000 -0.000000 -0.000000 -0.000000
1010000 0.062791 0.125333 0.309017 0.587785
1020000 0.125333 0.248690 0.587785 0.951057
1030000 0.187381 0.368125 0.809017 0.951057
1040000 0.248690 0.481754 0.951057 0.587785
1050000 0.309017 0.587785 1.000000 -0.000000
1060000 0.368125 0.684547 0.951057 -0.587785
1070000 0.425779 0.770513 0.809017 -0.951057
1080000 0.481754 0.844328 0.587785 -0.951057
1090000 0.535827 0.904827 0.309017 -0.587785
1100000 0.587785 0.951057 -0.000000 0.000000
1110000 0.637424 0.982287 -0.309017 0.587785
1120000 0.684547 0.998027 -0.587785 0.951057
1130000 0.728969 0.998027 -0.809017 0.951057
1.140000e+06 0.770513 0.982287 -0.951057 0.587785
1.150000e+06 0.809017 0.951057 -1.000000 -0.000000
1160000 0.844328 0.904827 -0.951057 -0.587785
1170000 0.876307 0.844328 -0.809017 -0.951057
1180000 0.904827 0.770513 -0.587785 -0.951057
1190000 0.929776 0.684547 -0.309017 -0.587785
1200000 0.951057 0.587785 -0.000000 -0.000000
1210000 0.968583 0.481754 0.309017 0.587785
1220000 0.982287 0.368125 0.587785 0.951057
1230000 0.992115 0.248690 0.809017 0.951057
1240000 0.998027 0.125333 0.951057 0.587785
1250000 1.000000 0.000000 1.000000 -0.000000
1260000 0.998027 -0.125333 0.951057 -0.587785
1270000 0.992115 -0.248690 0.809017 -0.951057
1280000 0.982287 -0.368125 0.587785 -0.951057
1290000 0.968583 -0.481754 0.309017 -0.587785
1300000 0.951057 -0.587785 -0.000000 0.000000
1310000 0.929776 -0.684547 -0.309017 0.587785
1320000 0.904827 -0.770513 -0.587785 0.951057
1330000 0.876307 -0.844328 -0.809017 0.951057
1340000 0.844328 -0.904827 -0.951057 0.587785
1350000 0.809017 -0.951057 -1.000000 0.000000
1360000 0.770513 -0.982287 -0.951057 -0.587785
1370000 0.728969 -0.998027 -0.809017 -0.951057
1380000 0.684547 -0.998027 -0.587785 -0.951057
1.390000e+06 0.637424 -0.982287 -0.309017 -0.587785
1.400000e+06 0.587785 -0.951057 -0.000000 -0.000000
1410000 0.535827 -0.904827 0.309017 0.587785
1420000 0.481754 -0.844328 0.587785 0.951057
1430000 0.425779 -0.770513 0.809017 0.951057
1440000 0.368125 -0.684547 0.951057 0.587785
1450000 0.309017 -0.587785 1.000000 -0.000000
1460000 0.248690 -0.481754 0.951057 -0.587785
1470000 0.187381 -0.368125 0.809017 -0.951057
1480000 0.125333 -0.248690 0.587785 -0.951057
1490000 0.062791 -0.125333 0.309017 -0.587785
1500000 0.000000 -0.000000 0.000000 -0.000000
1510000 -0.062791 0.125333 -0.309017 0.587785
1520000 -0.125333 0.248690 -0.587785 0.951057
1530000 -0.187381 0.368125 -0.809017 0.951057
1540000 -0.248690 0.481754 -0.951057 0.587785
1550000 -0.309017 0.587785 -1.000000 0.000000
1560000 -0.368125 0.684547 -0.951057 -0.587785
1570000 -0.425779 0.770513 -0.809017 -0.951057
1580000 -0.481754 0.844328 -0.587785 -0.951057
1590000 -0.535827 0.904827 -0.309017 -0.587785
1600000 -0.587785 0.951057 -0.000000 -0.000000
1610000 -0.637424 0.982287 0.309017 0.587785
1620000 -0.684547 0.998027 0.587785 0.951057
1630000 -0.728969 0.998027 0.809017 0.951057
1.640000e+06 -0.770513 0.982287 0.951057 0.587785
1.650000e+06 -0.809017 0.951057 1.000000 0.000000
1.660000e+06 -0.844328 0.904827 0.951057 -0.587785
1670000 -0.876307 0.844328 0.809017 -0.951057
1680000 -0.904827 0.770513 0.587785 -0.951057
1690000 -0.929776 0.684547 0.309017 -0.587785
1700000 -0.951057 0.587785 -0.000000 0.000000
1710000 -0.968583 0.481754 -0.309017 0.587785
1720000 -0.982287 0.368125 -0.587785 0.951057
1730000 -0.992115 0.248690 -0.809017 0.951057
1740000 -0.998027 0.125333 -0.951057 0.587785
1750000 -1.000000 0.000000 -1.000000 0.000000
1760000 -0.998027 -0.125333 -0.951057 -0.587785
1770000 -0.992115 -0.248690 -0.809017 -0.951057
1780000 -0.982287 -0.368125 -0.587785 -0.951057
1790000 -0.968583 -0.481754 -0.309017 -0.587785
1800000 -0.951057 -0.587785 -0.000000 -0.000000
1810000 -0.929776 -0.684547 0.309017 0.587785
1820000 -0.904827 -0.770513 0.587785 0.951057
1830000 -0.876307 -0.844328 0.809017 0.951057
1840000 -0.844328 -0.904827 0.951057 0.587785
1850000 -0.809017 -0.951057 1.000000 0.000000
1860000 -0.770513 -0.982287 0.951057 -0.587785
1870000 -0.728969 -0.998027 0.809017 -0.951057
1880000 -0.684547 -0.998027 0.587785 -0.951057
1.890000e+06 -0.637424 -0.982287 0.309017 -0.587785
1.900000e+06 -0.587785 -0.951057 0.000000 -0.000000
1.910000e+06 -0.535827 -0.904827 -0.309017 0.587785
1920000 -0.481754 -0.844328 -0.587785 0.951057
1930000 -0.425779 -0.770513 -0.809017 0.951057
1940000 -0.368125 -0.684547 -0.951057 0.587785
1950000 -0.309017 -0.587785 -1.000000 0.000000
1960000 -0.248690 -0.481754 -0.951057 -0.587785
1970000 -0.187381 -0.368125 -0.809017 -0.951057
1980000 -0.125333 -0.248690 -0.587785 -0.951057
1990000 -0.062791 -0.125333 -0.309017 -0.587785
2000000 -0.000000 -0.000000 -0.000000 -0.000000
2.010000e+06 0.062791 0.125333 0.309017 0.587785
2020000 0.125333 0.248690 0.587785 0.951057
2.030000e+06 0.187381 0.368125 0.809017 0.951057
2040000 0.248690 0.481754 0.951057 0.587785
2.050000e+06 0.309017 0.587785 1.000000 0.000000
2060000 0.368125 0.684547 0.951057 -0.587785
2.070000e+06 0.425779 0.770513 0.809017 -0.951057
2080000 0.481754 0.844328 0.587785 -0.951057
2.090000e+06 0.535827 0.904827 0.309017 -0.587785
2100000 0.587785 0.951057 -0.000000 0.000000
2110000 0.637424 0.982287 -0.309017 0.587785
2120000 0.684547 0.998027 -0.587785 0.951057
2130000 0.728969 0.998027 -0.809017 0.951057
2140000 0.770513 0.982287 -0.951057 0.587785
2150000 0.809017 0.951057 -1.000000 0.000000
2160000 0.844328 0.904827 -0.951057 -0.587785
2170000 0.876307 0.844328 -0.809017 -0.951057
2180000 0.904827 0.770513 -0.587785 -0.951057
2190000 0.929776 0.684547 -0.309017 -0.587785
2200000 0.951057 0.587785 0.000000 0.000000
2210000 0.968583 0.481754 0.309017 0.587785
2220000 0.982287 0.368125 0.587785 0.951057
2230000 0.992115 0.248690 0.809017 0.951057
2240000 0.998027 0.125333 0.951057 0.587785
2250000 1.000000 0.000000 1.000000 0.000000
2260000 0.998027 -0.125333 0.951057 -0.587785
2270000 0.992115 -0.248690 0.809017 -0.951057
2.280000e+06 0.982287 -0.368125 0.587785 -0.951057
2290000 0.968583 -0.481754 0.309017 -0.587785
2.300000e+06 0.951057 -0.587785 -0.000000 0.000000
2310000 0.929776 -0.684547 -0.309017 0.587785
2320000 0.904827 -0.770513 -0.587785 0.951057
2330000 0.876307 -0.844328 -0.809017 0.951057
2340000 0.844328 -0.904827 -0.951057 0.587785
2350000 0.809017 -0.951057 -1.000000 -0.000000
2360000 0.770513 -0.982287 -0.951057 -0.587785
2370000 0.728969 -0.998027 -0.809017 -0.951057
2380000 0.684547 -0.998027 -0.587785 -0.951057
2390000 0.637424 -0.982287 -0.309017 -0.587785
2400000 0.587785 -0.951057 -0.000000 -0.000000
2410000 0.535827 -0.904827 0.309017 0.587785
2420000 0.481754 -0.844328 0.587785 0.951057
2430000 0.425779 -0.770513 0.809017 0.951057
2440000 0.368125 -0.684547 0.951057 0.587785
2450000 0.309017 -0.587785 1.000000 -0.000000
2460000 0.248690 -0.481754 0.951057 -0.587785
2470000 0.187381 -0.368125 0.809017 -0.951057
2480000 0.125333 -0.248690 0.587785 -0.951057
2490000 0.062791 -0.125333 0.309017 -0.587785
2500000 0.000000 -0.000000 -0.000000 0.000000
2510000 -0.062791 0.125333 -0.309017 0.587785
2520000 -0.125333 0.248690 -0.587785 0.951057
2.530000e+06 -0.187381 0.368125 -0.809017 0.951057
2540000 -0.248690 0.481754 -0.951057 0.587785
2.550000e+06 -0.309017 0.587785 -1.000000 -0.000000
2560000 -0.368125 0.684547 -0.951057 -0.587785
2570000 -0.425779 0.770513 -0.809017 -0.951057
2580000 -0.481754 0.844328 -0.587785 -0.951057
2590000 -0.535827 0.904827 -0.309017 -0.587785
2600000 -0.587785 0.951057 0.000000 0.000000
2610000 -0.637424 0.982287 0.309017 0.587785
2620000 -0.684547 0.998027 0.587785 0.951057
2630000 -0.728969 0.998027 0.809017 0.951057
2640000 -0.770513 0.982287 0.951057 0.587785
2650000 -0.809017 0.951057 1.000000 0.000000
2660000 -0.844328 0.904827 0.951057 -0.587785
2670000 -0.876307 0.844328 0.809017 -0.951057
2680000 -0.904827 0.770513 0.587785 -0.951057
2690000 -0.929776 0.684547 0.309017 -0.587785
2700000 -0.951057 0.587785 0.000000 -0.000000
2710000 -0.968583 0.481754 -0.309017 0.587785
2720000 -0.982287 0.368125 -0.587785 0.951057
2730000 -0.992115 0.248690 -0.809017 0.951057
2740000 -0.998027 0.125333 -0.951057 0.587785
2750000 -1.000000 0.000000 -1.000000 0.000000
2760000 -0.998027 -0.125333 -0.951057 -0.587785
2770000 -0.992115 -0.248690 -0.809017 -0.951057
2.780000e+06 -0.982287 -0.368125 -0.587785 -0.951057
2790000 -0.968583 -0.481754 -0.309017 -0.587785
2.800000e+06 -0.951057 -0.587785 -0.000000 -0.000000
2810000 -0.929776 -0.684547 0.309017 0.587785
2820000 -0.904827 -0.770513 0.587785 0.951057
2830000 -0.876307 -0.844328 0.809017 0.951057
2840000 -0.844328 -0.904827 0.951057 0.587785
2850000 -0.809017 -0.951057 1.000000 -0.000000
2860000 -0.770513 -0.982287 0.951057 -0.587785
2870000 -0.728969 -0.998027 0.809017 -0.951057
2880000 -0.684547 -0.998027 0.587785 -0.951057
2890000 -0.637424 -0.982287 0.309017 -0.587785
2900000 -0.587785 -0.951057 -0.000000 0.000000
2910000 -0.535827 -0.904827 -0.309017 0.587785
2920000 -0.481754 -0.844328 -0.587785 0.951057
2930000 -0.425779 -0.770513 -0.809017 0.951057
2940000 -0.368125 -0.684547 -0.951057 0.587785
2950000 -0.309017 -0.587785 -1.000000 -0.000000
2960000 -0.248690 -0.481754 -0.951057 -0.587785
2970000 -0.187381 -0.368125 -0.809017 -0.951057
2980000 -0.125333 -0.248690 -0.587785 -0.951057
2990000 -0.062791 -0.125333 -0.309017 -0.587785
3000000 -0.000000 -0.000000 -0.000000 -0.000000
3010000 0.062791 0.125333 0.309017 0.587785
3020000 0.125333 0.248690 0.587785 0.951057
3.030000e+06 0.187381 0.368125 0.809017 0.951057
3040000 0.248690 0.481754 0.951057 0.587785
3.050000e+06 0.309017 0.587785 1.000000 -0.000000
3060000 0.368125 0.684547 0.951057 -0.587785
3.070000e+06 0.425779 0.770513 0.809017 -0.951057
3080000 0.481754 0.844328 0.587785 -0.951057
